Value of y(x) with respect to x:

	x	y(x)

	0.0	0.0
	0.01	0.000141678206357
	0.02	0.000561633540095
	0.03	0.00124989446132
	0.04	0.0021968574259
	0.05	0.00339327494583
	0.06	0.00483024402741
	0.07	0.00649919497572
	0.08	0.00839188055405
	0.09	0.0105003654874
	0.1	0.0128170162992
	0.11	0.015334491472
	0.12	0.0180457319198
	0.13	0.0209439517659
	0.14	0.0240226294134
	0.15	0.0272754989014
	0.16	0.0306965415375
	0.17	0.0342799777982
	0.18	0.0380202594883
	0.19	0.0419120621523
	0.2	0.0459502777292
	0.21	0.0501300074434
	0.22	0.0544465549247
	0.23	0.0588954195498
	0.24	0.0634722899988
	0.25	0.06817303802
	0.26	0.0729937123959
	0.27	0.0779305331056
	0.28	0.0829798856758
	0.29	0.088138315716
	0.3	0.0934025236309
	0.31	0.0987693595054
	0.32	0.104235818157
	0.33	0.109799034349
	0.34	0.115456278161
	0.35	0.121204950511
	0.36	0.127042578827
	0.37	0.132966812853
	0.38	0.138975420607
	0.39	0.145066284457
	0.4	0.15123739734
	0.41	0.157486859097
	0.42	0.163812872936
	0.43	0.170213742008
	0.44	0.176687866101
	0.45	0.183233738442
	0.46	0.189849942608
	0.47	0.196535149537
	0.48	0.203288114645
	0.49	0.210107675036
	0.5	0.216992746808
	0.51	0.223942322449
	0.52	0.230955468327
	0.53	0.238031322253
	0.54	0.245169091143
	0.55	0.252368048747
	0.56	0.259627533464
	0.57	0.26694694623
	0.58	0.274325748475
	0.59	0.28176346016
	0.6	0.289259657872
	0.61	0.296813972991
	0.62	0.304426089923
	0.63	0.312095744389
	0.64	0.319822721779
	0.65	0.327606855566
	0.66	0.335448025768
	0.67	0.343346157475
	0.68	0.35130121942
	0.69	0.359313222611
	0.7	0.367382219001
	0.71	0.375508300217
	0.72	0.383691596327
	0.73	0.39193227466
	0.74	0.400230538661
	0.75	0.408586626796
	0.76	0.417000811495
	0.77	0.42547339813
	0.78	0.434004724042
	0.79	0.442595157594
	0.8	0.451245097267
	0.81	0.459954970788
	0.82	0.468725234294
	0.83	0.477556371525
	0.84	0.486448893051
	0.85	0.495403335531
	0.86	0.504420261
	0.87	0.51350025618
	0.88	0.52264393183
	0.89	0.531851922114
	0.9	0.541124883994
	0.91	0.550463496659
	0.92	0.559868460963
	0.93	0.5693404989
	0.94	0.578880353095
	0.95	0.588488786321
	0.96	0.59816658103
	0.97	0.607914538916
	0.98	0.617733480489
	0.99	0.627624244674
	1.0	0.637587688423
